,date,open,close,high,low,volume,code
0,1996-12-18,4.805,5.743,5.84,4.389,99446.0,000661
1,1996-12-19,5.653,5.498,6.076,5.374,69749.5,000661
2,1996-12-20,5.399,5.414,5.669,5.156,27195.98,000661
3,1996-12-23,5.333,5.7,5.712,5.218,30227.69,000661
4,1996-12-24,5.746,5.802,5.995,5.517,48587.3,000661
5,1996-12-25,5.746,6.383,6.383,5.672,35043.56,000661
6,1996-12-26,6.43,6.523,6.7,6.216,19916.5,000661
7,1996-12-27,6.728,6.585,6.772,6.402,24299.39,000661
8,1996-12-30,6.585,7.228,7.244,6.523,33588.11,000661
9,1996-12-31,7.144,6.911,7.144,6.74,11186.4,000661
10,1997-01-02,6.952,6.834,7.036,6.725,9124.7,000661
11,1997-01-03,6.896,6.768,6.896,6.492,14812.93,000661
12,1997-01-06,6.768,6.862,7.048,6.526,23723.91,000661
13,1997-01-07,6.834,7.107,7.206,6.647,25234.8,000661
14,1997-01-08,7.107,7.57,7.626,7.02,36450.37,000661
15,1997-01-09,7.588,7.573,7.588,7.393,17845.91,000661
16,1997-01-10,7.455,7.542,7.564,7.377,5903.0,000661
17,1997-01-13,7.542,7.579,7.766,7.455,19865.55,000661
18,1997-01-14,7.573,7.508,7.573,7.362,10815.15,000661
19,1997-01-15,7.455,7.551,7.61,7.455,5698.8,000661
20,1997-01-16,7.548,7.579,7.61,7.418,6144.55,000661
21,1997-01-17,7.573,7.554,7.61,7.461,5238.95,000661
22,1997-01-20,7.542,7.731,7.946,7.542,6731.3,000661
23,1997-01-21,7.703,7.486,7.79,7.455,5737.6,000661
24,1997-01-22,7.486,7.89,7.918,7.486,39414.59,000661
25,1997-01-23,7.946,8.365,8.387,7.946,27463.12,000661
26,1997-01-24,8.371,8.359,8.527,8.079,9006.18,000661
27,1997-01-27,8.231,8.281,8.371,8.176,2421.19,000661
28,1997-01-28,8.281,8.051,8.325,8.03,2987.45,000661
29,1997-01-29,7.921,7.946,8.045,7.812,7665.4,000661
30,1997-01-30,7.828,7.852,8.076,7.828,8198.2,000661
31,1997-02-17,8.101,8.213,8.231,7.719,31015.8,000661
32,1997-02-18,8.169,8.169,8.169,7.393,12386.61,000661
33,1997-02-19,7.703,8.02,8.064,7.48,7916.91,000661
34,1997-02-20,7.219,7.79,7.797,7.219,18484.72,000661
35,1997-02-21,7.505,7.825,7.921,7.505,7366.3,000661
36,1997-02-24,7.843,7.769,7.915,7.455,6107.19,000661
37,1997-02-25,7.797,7.905,8.076,7.691,8636.4,000661
38,1997-02-26,8.014,7.971,8.033,7.806,5312.69,000661
39,1997-02-27,7.998,7.912,7.998,7.834,2326.5,000661
40,1997-02-28,7.921,7.93,7.977,7.784,3320.0,000661
41,1997-03-04,8.014,8.207,8.387,7.952,10635.44,000661
42,1997-03-05,8.216,8.387,8.527,8.216,18218.67,000661
43,1997-03-06,8.402,8.396,8.464,8.294,10329.7,000661
44,1997-03-07,8.412,8.349,8.542,8.309,7092.7,000661
45,1997-03-10,8.389,8.411,8.876,8.378,19399.2,000661
46,1997-03-11,8.456,9.25,9.25,8.445,25130.17,000661
47,1997-03-12,9.441,9.838,9.871,8.993,69245.68,000661
48,1997-03-13,9.731,9.983,10.347,9.536,37095.21,000661
49,1997-03-14,9.894,10.196,10.235,9.748,30380.09,000661
50,1997-03-17,10.347,10.526,10.883,10.235,42813.7,000661
51,1997-03-18,10.402,10.369,10.621,10.179,20294.82,000661
52,1997-03-19,10.402,10.179,10.402,9.955,12660.56,000661
53,1997-03-20,10.235,10.402,10.615,10.039,25493.94,000661
54,1997-03-21,10.402,11.096,11.443,10.291,39808.98,000661
55,1997-03-24,11.197,10.906,11.398,10.839,15725.84,000661
56,1997-03-25,10.85,10.962,10.962,10.458,13386.66,000661
57,1997-03-26,10.878,10.844,11.006,10.626,13028.6,000661
58,1997-03-27,10.682,10.649,10.738,10.559,11887.97,000661
59,1997-03-28,10.537,10.693,11.074,10.514,12496.0,000661
60,1997-03-31,10.928,10.855,10.928,10.559,13090.51,000661
61,1997-04-01,11.756,11.868,11.94,10.962,34941.37,000661
62,1997-04-02,11.745,11.543,11.968,11.51,13321.34,000661
63,1997-04-03,11.745,11.98,11.991,11.521,19167.81,000661
64,1997-04-04,12.147,12.472,12.668,11.75,23737.99,000661
65,1997-04-07,12.528,12.522,12.863,12.416,21878.78,000661
66,1997-04-08,12.684,12.198,12.695,11.94,18148.67,000661
67,1997-04-09,12.198,12.248,12.405,12.024,12241.1,000661
68,1997-04-10,12.36,12.08,12.388,12.052,9625.2,000661
69,1997-04-11,12.08,11.795,12.08,11.638,8825.34,000661
70,1997-04-14,11.901,11.817,11.996,11.739,9467.23,000661
71,1997-04-15,11.834,12.136,12.416,11.817,11123.83,000661
72,1997-04-16,12.282,12.075,12.388,11.996,9684.32,000661
73,1997-04-17,12.002,12.024,12.293,11.885,7495.07,000661
74,1997-04-18,12.024,11.996,12.108,11.885,5689.32,000661
75,1997-04-21,12.159,11.907,12.164,11.689,18471.1,000661
76,1997-04-22,12.298,12.08,12.298,11.963,18342.14,000661
77,1997-04-23,12.416,12.578,12.774,12.024,27123.88,000661
78,1997-04-24,12.64,12.914,13.143,12.187,33898.35,000661
79,1997-04-25,13.025,12.981,13.115,12.024,67078.5,000661
80,1997-04-28,13.053,14.088,14.261,13.048,48115.02,000661
81,1997-04-29,14.53,13.378,15.1,13.031,44444.15,000661
82,1997-04-30,13.311,13.697,14.206,13.031,29042.03,000661
83,1997-05-05,13.982,13.797,14.15,13.59,40290.96,000661
84,1997-05-06,13.87,14.15,14.362,13.758,42155.07,000661
85,1997-05-07,14.261,14.239,14.793,13.926,43366.51,000661
86,1997-05-08,14.261,13.982,14.877,13.87,34819.92,000661
87,1997-05-12,14.961,14.58,15.044,14.261,26657.12,000661
88,1997-05-13,14.541,14.105,14.653,13.982,9930.67,000661
89,1997-05-14,14.541,14.289,14.821,14.038,26844.1,000661
90,1997-05-15,14.261,14.491,14.541,13.87,11501.49,000661
91,1997-05-16,13.702,13.042,14.261,13.042,12684.8,000661
92,1997-05-19,12.863,12.824,13.534,12.416,10208.72,000661
93,1997-05-20,13.193,13.076,13.271,12.864,8883.68,000661
94,1997-05-21,13.076,12.449,13.193,12.214,6442.76,000661
95,1997-05-22,11.204,11.204,11.705,11.204,10714.68,000661
96,1997-05-23,10.57,11.095,11.431,10.139,13989.76,000661
97,1997-05-26,11.118,11.259,11.353,10.711,13004.76,000661
98,1997-05-27,11.353,11.885,12.058,11.29,11712.99,000661
99,1997-05-28,11.862,11.956,12.277,11.666,10344.86,000661
100,1997-05-29,11.823,11.838,11.979,11.744,6042.68,000661
101,1997-05-30,11.744,11.94,12.058,11.666,6992.13,000661
102,1997-06-02,12.136,12.606,12.7,12.136,10835.39,000661
103,1997-06-03,12.762,12.645,13.06,12.527,10914.44,000661
104,1997-06-04,12.723,12.621,12.88,12.527,9996.25,000661
105,1997-06-05,12.684,12.527,12.692,12.449,8517.85,000661
106,1997-06-06,11.298,11.658,12.136,11.283,13469.54,000661
107,1997-06-09,11.666,11.588,11.744,11.314,6348.98,000661
108,1997-06-10,11.431,11.204,11.627,11.157,3791.8,000661
109,1997-06-11,11.196,10.531,11.275,10.179,6467.19,000661
110,1997-06-12,10.57,10.938,11.275,10.57,5666.47,000661
111,1997-06-13,10.249,11.259,11.267,10.218,6153.3,000661
112,1997-06-16,11.51,11.713,11.729,11.431,6690.44,000661
113,1997-06-17,11.666,11.447,11.901,11.431,3906.4,000661
114,1997-06-18,11.47,11.055,11.627,10.891,4140.5,000661
115,1997-06-19,11.04,11.087,11.236,10.962,3179.96,000661
116,1997-06-20,11.087,11.69,11.784,11.087,7105.36,000661
117,1997-06-23,11.901,11.4,12.152,11.275,9295.93,000661
118,1997-06-24,11.588,11.627,11.666,11.353,4903.17,000661
119,1997-06-25,11.643,11.698,11.979,11.51,13494.14,000661
120,1997-06-26,11.69,11.627,11.69,11.549,6030.46,000661
121,1997-06-27,11.643,11.33,11.744,11.314,7967.0,000661
122,1997-07-02,11.353,10.962,11.588,10.335,4832.95,000661
123,1997-07-03,10.805,10.492,10.962,10.421,3982.84,000661
124,1997-07-04,10.179,10.273,10.453,9.787,4132.39,000661
125,1997-07-07,10.257,9.247,10.413,9.247,3657.44,000661
126,1997-07-08,9.012,9.082,9.396,8.534,4665.04,000661
127,1997-07-09,9.239,9.552,9.63,8.691,5834.52,000661
128,1997-07-10,9.552,10.022,10.507,9.396,40906.07,000661
129,1997-07-11,9.787,11.024,11.024,9.443,35535.92,000661
130,1997-07-14,11.337,11.619,12.042,11.212,29807.58,000661
131,1997-07-15,11.533,11.705,11.995,11.118,20072.69,000661
132,1997-07-16,11.744,11.51,11.885,11.353,10178.95,000661
133,1997-07-17,11.549,11.658,11.823,11.275,9913.97,000661
134,1997-07-18,11.588,12.394,12.527,11.431,36759.29,000661
135,1997-07-21,12.723,12.59,13.138,12.449,44428.44,000661
136,1997-07-22,13.13,12.739,13.13,11.995,23971.38,000661
